Model,Precision,Recall,F1 Score
convnet (train),0.7335526315789473,0.9330543933054394,0.8213627992633518
convnet (test),0.7241379310344828,0.8076923076923077,0.7636363636363637
resnet (train),1.0,1.0,1.0
resnet (test),0.7894736842105263,0.8653846153846154,0.8256880733944955
densenet (train),0.7638888888888888,0.9205020920502092,0.8349146110056926
densenet (test),0.6818181818181818,0.8653846153846154,0.7627118644067796
